"state_abbr","year","fiscal_year","leg_total","leg_sales","leg_income","leg_corporate","leg_cigarette_tobacco","leg_fuel","leg_alcohol","leg_others","leg_fees","gov_total","gov_sales","gov_income","gov_corporate","gov_cigarette_tobacco","gov_fuel","gov_alcohol","gov_others","gov_fees","personal_income","population","taxes_last_year","percent_change_personal_income","percent_change_population","estimated_imbalance","state","gov_party","house_dem_share","senate_dem_share","citizen_ideology","year_of_biennium","ranney_10yrs","change_in_gov_party","change_in_house_dem_share","change_in_senate_dem_share","change_in_citizen_ideology"
"AZ",2008,2009,-0.204147,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.0277695,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.22,6.3,13,4.55,1.61,-441,"Arizona","Democrat",0.45,0.433333,48.5431,"Second Year of Biennium",0.433461,"No Change",0,0,-0.14875
"AZ",2009,2010,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.22,6.4,11,-4.35,0,50,"Arizona","Republican",0.416667,0.4,44.1794,"First Year of Biennium",0.44052,"Change to Republican",-0.0333333,-0.0333333,-4.36373
"AZ",2010,2011,3.0354,6.40789,0.105879,-0.275799,-0.28685,-0.214481,-0.112654,-0.0976997,0.0468879,2.77253,5.43167,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,0.268035,0.23,6.5,10,0,1.59,3,"Arizona","Republican",0.416667,0.4,39.1737,"Second Year of Biennium",0.423001,"No Change",0,0,-5.0057
"AZ",2011,2012,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.24,6.6,12,4.42,1.07,3,"Arizona","Republican",0.333333,0.3,47.2821,"First Year of Biennium",NA,"No Change",-0.0833334,-0.1,8.10846
"AR",1987,1988,0.561691,0.411329,1.09447,-0.0729137,-0.28685,-0.214481,0.737252,-0.0392457,-0.206298,0.550837,-0.106186,0.962353,-0.059479,-0.276914,-0.170953,-0.115757,0.360402,-0.174647,0.031,2.3,1.9,3.7,0,0,"Arkansas","Democrat",0.91,0.885714,50.9251,"First Year of Biennium",0.835102,NA,NA,NA,NA
"AR",1988,1989,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.032,2.3,2,7.14,0,0,"Arkansas","Democrat",0.91,0.885714,56.5966,"Second Year of Biennium",0.8311,"No Change",0,0,5.67155
"AR",1989,1990,-0.150802,0.00400812,0.00210438,-0.165134,-0.28685,-0.214481,-0.112654,-0.0270235,-0.206298,2.96354,5.91323,-0.902802,1.18055,0.718847,-0.170953,1.14041,0.202998,-0.174647,0.034,2.4,2.2,6.67,0,0,"Arkansas","Democrat",0.888889,0.885714,53.948,"First Year of Biennium",0.827097,"No Change",-0.0211111,0,-2.64865
"AR",1990,1991,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.036,2.4,2.3,6.25,4.35,0,"Arkansas","Democrat",0.888889,0.885714,41.1379,"Second Year of Biennium",0.839312,"No Change",0,0,-12.8101
"AR",1991,1992,3.86737,4.60167,-0.463552,0.772443,-0.0185234,8.15024,-0.112654,1.29058,-0.206298,1.9024,4.15756,-0.329948,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.039,2.4,2.4,5.88,0,0,"Arkansas","Democrat",0.91,0.885714,40.2771,"First Year of Biennium",0.851527,"No Change",0.0211111,0,-0.86081
"AR",1992,1993,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.041,2.5,2.7,8.33,0,0,"Arkansas","Democrat",0.909091,0.885714,45.6947,"Second Year of Biennium",0.85002,"No Change",-0.000909091,0,5.4176
"AR",1993,1994,0.881328,-0.151552,0.00210438,-0.0729137,2.01309,-0.214481,-0.112654,1.4725,1.3943,0.790027,-0.106186,-0.0257428,-0.059479,1.95847,-0.170953,-0.115757,1.05924,1.80081,0.044,2.5,2.9,5.13,4.17,0,"Arkansas","Democrat",0.89899,0.857143,42.2312,"First Year of Biennium",0.848514,"No Change",-0.010101,-0.0285714,-3.46345
"AR",1994,1995,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.046,2.5,3.2,7.32,0,0,"Arkansas","Democrat",0.888889,0.857143,40.2963,"Second Year of Biennium",0.844966,"No Change",-0.010101,0,-1.93495
"AR",1995,1996,-0.409661,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.685678,-0.119421,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.049,2.6,3.4,4.55,0,0,"Arkansas","Democrat",0.88,0.8,40.0728,"First Year of Biennium",0.828918,"No Change",-0.00888889,-0.0571429,-0.22348
"AR",1996,1997,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.052,2.6,3.7,6.52,4,0,"Arkansas","Republican",0.878788,0.8,35.4879,"Second Year of Biennium",0.81223,"Change to Republican",-0.00121212,0,-4.58491
"AR",1997,1998,0.0713897,0.448855,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.145222,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.055,2.6,3.8,6.12,0,0,"Arkansas","Republican",0.868687,0.823529,45.3525,"First Year of Biennium",0.795542,"No Change",-0.010101,0.0235294,9.86466
"AR",1998,1999,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.980805,-0.106186,-1.25952,-0.059479,-0.276914,-0.170953,-0.115757,-0.150769,-0.174647,0.057,2.7,4.1,5.77,0,37,"Arkansas","Republican",0.86,0.8,47.0043,"Second Year of Biennium",0.772226,"No Change",-0.00868687,-0.0235294,1.65179
"AR",1999,2000,-0.394376,-0.151552,-0.275554,-0.0729137,-0.28685,-0.214481,-0.112654,-0.235321,-0.206298,-0.365218,-0.106186,-0.207132,-0.059479,-0.276914,-0.170953,-0.115757,-0.227953,-0.174647,0.06,2.7,4.6,3.64,3.85,0,"Arkansas","Republican",0.76,0.828571,46.3162,"First Year of Biennium",0.74891,"No Change",-0.1,0.0285714,-0.68813
"AR",2000,2001,-0.341505,-0.151552,-0.242264,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.064,2.7,4.9,5.26,0,0,"Arkansas","Republican",0.762887,0.828571,33.548,"Second Year of Biennium",0.723736,"No Change",0.0028866,0,-12.7682
"AR",2001,2002,-0.250063,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.148789,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.066,2.7,5,6.67,0,0,"Arkansas","Republican",0.7,0.771429,49.7243,"First Year of Biennium",0.698561,"No Change",-0.0628866,-0.0571428,16.1763
"AR",2002,2003,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.069,2.7,5.2,3.13,0,0,"Arkansas","Republican",0.7,0.771429,43.5285,"Second Year of Biennium",0.676811,"No Change",0,0,-6.19582
"AR",2003,2004,0.524324,-0.151552,0.800373,0.0543871,2.19348,-0.214481,-0.112654,-0.0976997,-0.206298,1.15336,2.49042,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.074,2.7,5.1,4.55,0,0,"Arkansas","Republican",0.72,0.771429,50.4057,"First Year of Biennium",0.655061,"No Change",0.02,0,6.87724
"AR",2004,2005,0.111367,-0.151552,0.00210438,-0.0729137,1.97202,-0.214481,-0.112654,-0.0976997,-0.206298,0.462275,-0.106186,0.579564,0.104936,1.91855,-0.170953,-0.115757,-0.124227,-0.174647,0.077,2.8,5.6,7.25,0,0,"Arkansas","Republican",0.7,0.771429,52.6281,"Second Year of Biennium",0.634629,"No Change",-0.02,0,2.22243
"AR",2005,2006,-0.558388,-0.207493,-0.599667,-0.247707,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.484357,-0.106186,-0.410847,-0.206375,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.083,2.8,6.5,4.05,3.7,0,"Arkansas","Republican",0.72,0.771429,49.1916,"First Year of Biennium",0.626697,"No Change",0.02,0,-3.43654
"AR",2006,2007,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.089,2.8,7,7.79,0,0,"Arkansas","Republican",0.72,0.771429,49.1493,"Second Year of Biennium",0.634996,"No Change",0,0,-0.04225
"AR",2007,2008,-1.18399,-1.88583,-0.159707,-0.0729137,-0.28685,0.47817,-0.112654,-0.502928,-0.206298,-1.08027,-1.57037,-0.131451,-0.059479,-0.276914,0.505082,-0.115757,-0.429651,-0.174647,0.094,2.9,7.4,7.23,0,0,"Arkansas","Democrat",0.75,0.771429,56.3867,"First Year of Biennium",0.643294,"Change to Democrat",0.03,0,7.23739
"AR",2008,2009,-0.280764,-0.246616,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.262334,-0.186445,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.093,2.9,7.5,5.62,3.57,0,"Arkansas","Democrat",0.75,0.771429,57.633,"Second Year of Biennium",0.657927,"No Change",0,0,1.24623
"AR",2009,2010,-0.112026,-0.569835,-0.00960356,-0.0729137,1.85977,-0.214481,-0.112654,-0.0976997,-0.1641,-0.041616,-0.459325,-0.0257428,-0.059479,2.28632,-0.170953,-0.115757,-0.124227,-0.174647,0.096,2.9,7.5,-1.06,0,0,"Arkansas","Democrat",0.717172,0.771429,44.2342,"First Year of Biennium",0.672561,"No Change",-0.0328283,0,-13.3988
"AR",2010,2011,-0.261822,-0.172062,-0.0383558,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.1,2.9,7.3,3.23,0,0,"Arkansas","Democrat",0.717172,0.771429,32.1731,"Second Year of Biennium",0.682928,"No Change",0,0,-12.061
"AR",2011,2012,-0.339353,-0.410008,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.0849798,-0.283557,-0.226574,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.11,2.9,8,4.35,1.33,0,"Arkansas","Democrat",0.555556,0.571429,29.1734,"First Year of Biennium",NA,"No Change",-0.161616,-0.2,-2.9997
"CA",1987,1988,-1.40568,-0.151552,-2.43705,-0.354699,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.56,28,36,8.51,3.7,962,"California","Republican",0.55,0.615385,53.2296,"First Year of Biennium",0.604923,NA,NA,NA,NA
"CA",1988,1989,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.6,29,36,9.8,0,212,"California","Republican",0.55,0.615385,56.6052,"Second Year of Biennium",0.585648,"No Change",0,0,3.37569
"CA",1989,1990,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.64,30,41,7.14,3.57,694,"California","Republican",0.5875,0.615385,55.8268,"First Year of Biennium",0.566372,"No Change",0.0375,0,-0.77846
"CA",1990,1991,0.992399,-0.151552,0.148763,2.42777,-0.28685,3.5602,-0.112654,0.367214,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.66,30,43,6.67,3.45,-735,"California","Republican",0.5875,0.615385,53.4977,"Second Year of Biennium",0.55285,"No Change",0,0,-2.32909
"CA",1991,1992,4.21891,3.80946,3.19518,2.4068,-0.28685,-0.214481,7.06433,1.45718,-0.206298,0.317758,0.268355,0.403042,-0.059479,-0.276914,-0.170953,0.338163,0.0338892,-0.174647,0.7,31,45,3.13,0,-1344,"California","Republican",0.6,0.666667,51.6701,"First Year of Biennium",0.539327,"No Change",0.0125,0.0512821,-1.82755
"CA",1992,1993,0.212852,-0.138183,0.161758,1.32192,-0.28685,-0.214481,-0.819138,-0.0976997,0.628864,-0.080613,-0.106186,0.12636,0.174964,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.71,31,48,6.06,3.33,-2100,"California","Republican",0.5875,0.657895,52.4721,"Second Year of Biennium",0.53894,"No Change",-0.0125,-0.00877193,0.80192
"CA",1993,1994,0.698756,0.925198,0.718917,0.216923,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.096449,-0.106186,0.10197,0.184098,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.74,31,49,1.43,0,-693,"California","Republican",0.6,0.621622,53.2545,"First Year of Biennium",0.538553,"No Change",0.0125,-0.0362731,0.78243
"CA",1994,1995,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.280373,-0.106186,-0.124827,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.78,32,50,4.23,0,566,"California","Republican",0.582278,0.578947,48.9308,"Second Year of Biennium",0.532651,"No Change",-0.0177215,-0.0426743,-4.32366
"CA",1995,1996,-0.452774,-0.151552,-0.494931,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.358037,-0.106186,-0.133978,-0.477696,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.83,32,53,5.41,3.23,403,"California","Republican",0.493671,0.552632,49.1062,"First Year of Biennium",0.526748,"No Change",-0.0886076,-0.0263158,0.17538
"CA",1996,1997,-0.28541,-0.151552,0.00210438,-0.370246,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.532742,-0.111375,-0.439342,-0.382849,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.88,32,58,6.41,0,648,"California","Republican",0.493671,0.552632,50.2966,"Second Year of Biennium",0.527105,"No Change",0,0,1.19033
"CA",1997,1998,-0.330281,-0.163051,-0.139524,-0.328157,-0.28685,-0.214481,-0.112654,-0.0976997,-0.124625,-0.241967,-0.106186,-0.0257428,-0.315235,-0.276914,-0.170953,-0.115757,-0.124227,0.0353539,0.96,33,62,6.02,0,774,"California","Republican",0.5375,0.589744,53.7509,"First Year of Biennium",0.527462,"No Change",0.0438291,0.037112,3.45434
"CA",1998,1999,-0.957644,-0.163085,-0.925296,-0.162422,-0.28685,-0.214481,-0.112654,-0.1026,-1.91282,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1,33,68,9.09,3.13,1097,"California","Republican",0.531646,0.589744,55.6495,"Second Year of Biennium",0.546015,"No Change",-0.00585443,0,1.89863
"CA",1999,2000,-0.380366,-0.151552,-0.0211784,-0.165903,-0.28685,-0.214481,-0.112654,-0.483334,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.1,34,72,4.17,0,3012,"California","Democrat",0.6,0.625,57.0943,"First Year of Biennium",0.564568,"Change to Democrat",0.0683544,0.0352564,1.44482
"CA",2000,2001,-0.44314,-0.155796,-0.444546,-0.147788,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.284315,-0.109769,-0.0940337,-0.171119,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.2,34,84,10,3.03,6557,"California","Democrat",0.594937,0.615385,51.1409,"Second Year of Biennium",0.580493,"No Change",-0.00506329,-0.00961538,-5.95349
"CA",2001,2002,-0.25225,-0.188785,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.258797,-0.128926,-0.0257428,-0.199671,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.2,35,90,9.09,0,1486,"California","Democrat",0.625,0.666667,56.6801,"First Year of Biennium",0.596418,"No Change",0.0300633,0.0512821,5.53926
"CA",2002,2003,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.188462,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,0.0824157,1.2,35,78,0,2.94,-4451,"California","Democrat",0.625,0.65,56.2896,"Second Year of Biennium",0.610135,"No Change",0,-0.0166667,-0.39054
"CA",2003,2004,-0.167145,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,0.194313,3.20532,3.39879,1.69057,-0.059479,3.1186,-0.170953,-0.115757,-0.124227,0.418672,1.3,36,79,0,0,1219,"California","Democrat",0.6,0.625,55.6249,"First Year of Biennium",0.611352,"No Change",-0.025,-0.025,-0.66469
"CA",2004,2005,-0.156227,-0.129996,0.206313,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.336326,-0.101435,-0.106186,-0.0196789,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,0.764009,1.4,36,86,8.33,2.86,1425,"California","Republican",0.6,0.625,59.1004,"Second Year of Biennium",0.618397,"Change to Republican",0,0,3.47548
"CA",2005,2006,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.5,36,98,7.69,0,7031,"California","Republican",0.6,0.625,57.7577,"First Year of Biennium",0.625442,"No Change",0,0,-1.34265
"CA",2006,2007,-0.173172,-0.133403,0.125473,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.150431,-0.0870333,0.0690745,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.6,36,110,7.14,0,3198,"California","Republican",0.6,0.625,59.9066,"Second Year of Biennium",0.627549,"No Change",0,0,2.14884
"CA",2007,2008,-0.179564,-0.151552,0.125473,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.162007,-0.0870333,0.0548519,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.6,37,110,6.67,0,1757,"California","Republican",0.6,0.625,61.5075,"First Year of Biennium",0.629655,"No Change",0,0,1.60098
"CA",2008,2009,0.498476,-0.142045,0.128497,2.8013,-0.28685,-0.214481,-0.112654,-0.0976997,0.90139,-0.214317,-0.095652,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,1.5,37,120,0,2.78,-2341,"California","Republican",0.594937,0.625,63.928,"Second Year of Biennium",0.613713,"No Change",-0.00506329,0,2.42052
"CA",2009,2010,3.28148,2.98557,3.43466,-0.742436,-0.28685,-0.214481,-0.112654,-0.0976997,3.3805,3.28188,2.78313,2.42528,-0.0526588,-0.276914,-0.170953,0.340833,-0.124227,4.25217,1.6,37,100,-6.25,0,-3863,"California","Republican",0.6375,0.641026,63.1542,"First Year of Biennium",0.597771,"No Change",0.0425633,0.0160256,-0.77388
"CA",2010,2011,0.187952,-1.93401,0.105879,1.8545,-0.28662,5.1247,-0.111039,-0.0975887,0.0468879,-0.531864,-1.79162,-0.0257428,-0.059479,-0.276914,3.78949,-0.115757,-0.124227,-0.174647,1.7,38,100,6.67,0,-1206,"California","Republican",0.628205,0.641026,58.1784,"Second Year of Biennium",0.596931,"No Change",-0.00929487,0,-4.97576
"CA",2011,2012,-0.245024,-0.151552,-0.0231741,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,2.69825,2.15109,1.53874,1.78765,-0.276914,-0.170953,-0.115757,-0.124227,2.86337,1.8,38,120,5.35,1.81,-3079,"California","Democrat",0.65,0.625,54.7185,"First Year of Biennium",NA,"Change to Democrat",0.0217949,-0.0160256,-3.45987
"CO",1987,1988,-0.2128,-0.291296,0.00210438,0.446473,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.057,3.3,2.5,3.92,3.13,126,"Colorado","Democrat",0.369231,0.285714,42.357,"First Year of Biennium",0.460112,NA,NA,NA,NA
"CO",1988,1989,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.06,3.3,2.7,5.66,0,102,"Colorado","Democrat",0.369231,0.285714,51.1238,"Second Year of Biennium",0.457864,"No Change",0,0,8.76681
"CO",1989,1990,0.493425,-0.151552,0.00210438,-0.0729137,-0.28685,1.7739,-0.112654,1.20441,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.064,3.3,2.9,7.14,0,111,"Colorado","Democrat",0.4,0.314286,45.9781,"First Year of Biennium",0.455616,"No Change",0.0307692,0.0285714,-5.14575
"CO",1990,1991,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.068,3.4,3.1,6.67,0,80,"Colorado","Democrat",0.4,0.314286,44.1018,"Second Year of Biennium",0.456468,"No Change",0,0,-1.87623
"CO",1991,1992,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.074,3.5,3.2,6.25,3.03,76,"Colorado","Democrat",0.415385,0.342857,46.3364,"First Year of Biennium",0.457321,"No Change",0.0153846,0.0285715,2.23455
"CO",1992,1993,0.268303,-0.151552,1.14249,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.08,3.6,3.5,8.82,2.94,230,"Colorado","Democrat",0.415385,0.342857,47.7574,"Second Year of Biennium",0.460471,"No Change",0,0,1.42099
"CO",1993,1994,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.087,3.7,3.8,8.11,2.86,320,"Colorado","Democrat",0.476923,0.457143,42.8629,"First Year of Biennium",0.463622,"No Change",0.0615385,0.114286,-4.89454
"CO",1994,1995,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.094,3.8,4.2,8.75,2.78,399,"Colorado","Democrat",0.476923,0.457143,41.3008,"Second Year of Biennium",0.467359,"No Change",0,0,-1.56203
"CO",1995,1996,-0.233892,-0.151552,0.00210438,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.1,3.9,4.5,8.05,2.7,503,"Colorado","Democrat",0.369231,0.457143,42.479,"First Year of Biennium",0.471096,"No Change",-0.107692,0,1.17817
"CO",1996,1997,-0.358395,-0.255528,-0.129277,-0.0729137,-0.28685,-0.214481,-0.112654,-0.150917,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.11,4,4.8,6.38,2.63,396,"Colorado","Democrat",0.369231,0.457143,45.8501,"Second Year of Biennium",0.474727,"No Change",0,0,3.3711
"CO",1997,1998,-0.426242,-0.151552,-0.0506115,-0.0729137,-0.28685,-0.214481,-0.112654,-0.453938,-0.560599,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.12,4.1,5.3,10,2.56,325,"Colorado","Democrat",0.369231,0.428571,46.2864,"First Year of Biennium",0.478359,"No Change",0,-0.0285715,0.43629
"CO",1998,1999,-0.418598,-0.151552,-0.417325,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.13,4.2,5.9,9.09,2.5,667,"Colorado","Democrat",0.369231,0.428571,45.1323,"Second Year of Biennium",0.466051,"No Change",0,0,-1.15404
"CO",1999,2000,-1.45894,-0.259579,-2.65879,-0.0729137,-0.28685,-0.214481,-0.112654,-0.0976997,-0.206298,-0.219888,-0.106186,-0.0257428,-0.059479,-0.276914,-0.170953,-0.115757,-0.124227,-0.174647,0.15,4.3,6.6,8.33,2.44,704,"Colorado","Republican",0.384615,0.428571,49.7751,"First Year of Biennium",0.453744,"Change to Republican",0.0153846,0,4.64279
